127.0.0.1, 2018-10-26 14:29:41, GET, /, HTTP/1.1, 200, 0.043695
127.0.0.1, 2018-10-26 14:29:41, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000562
127.0.0.1, 2018-10-26 14:30:01, GET, /, HTTP/1.1, 200, 0.039584
127.0.0.1, 2018-10-26 14:30:01, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000832
127.0.0.1, 2018-10-26 14:30:01, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001326
127.0.0.1, 2018-10-26 14:30:29, GET, /init/default/user/register, HTTP/1.1, 200, 0.052942
127.0.0.1, 2018-10-26 14:30:35, GET, /init/default/user/register, HTTP/1.1, 200, 0.050518
127.0.0.1, 2018-10-26 14:30:41, GET, /init/default/index, HTTP/1.1, 200, 0.081348
127.0.0.1, 2018-10-26 14:30:41, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001521
127.0.0.1, 2018-10-26 14:31:45, GET, /init/default/index, HTTP/1.1, 200, 0.036252
127.0.0.1, 2018-10-26 14:31:46, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000953
127.0.0.1, 2018-10-26 14:31:46, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001909
127.0.0.1, 2018-10-26 14:31:47, GET, /init/default/index, HTTP/1.1, 200, 0.041456
127.0.0.1, 2018-10-26 14:31:47, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000992
127.0.0.1, 2018-10-26 14:31:47, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001972
127.0.0.1, 2018-10-26 14:31:52, GET, /init/default/index, HTTP/1.1, 200, 0.044085
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010876
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.012658
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.004351
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.005234
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.009655
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.011475
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.003611
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003085
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002146
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000839
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001551
127.0.0.1, 2018-10-26 14:32:42, GET, /init/default/index, HTTP/1.1, 200, 0.036357
127.0.0.1, 2018-10-26 14:32:42, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000804
